Hublot|宇舶錶|hublot,宇舶,宇舶錶
Uswitch|Uswitch|uswitch
EY|安永|ey_global
ServiceNow|ServiceNow|servicenow
RingCentral|RingCentral|ringcentral
NetApp|NetApp|netapp
Squarespace|Squarespace|squarespace
Legora|Legora|legora
Lition|Lition|lition,lition_energie
Verizon|威訊|verizon
Telstra|Telstra|telstra
eBay|eBay|ebay
OpenAI|OpenAI|openai
WPP|WPP|wpp
Epocrates|Epocrates|epocrates
ho. Mobile|ho. Mobile|ho.mobile
Treedom|Treedom|treedom_trees,treedom
ESPN|ESPN|espn
NBA|NBA|nba
NBC|NBC|nbc
NFL|NFL|nfl
FIFA|FIFA|fifa
Formula 1|一級方程式|formula 1,formula1,f1
MTV|MTV|mtv
BBC|BBC|bbc
ARD|ARD|ard
ZDF|ZDF|zdf,zdfmediathek
Channel 4|Channel 4|channel4,channel 4
Cancer Research UK|英國癌症研究中心|cr_uk,cancer research uk
Viasat World|Viasat World|viasat world,viasat history
DAZN|DAZN|dazn
FIBA|FIBA|fiba
Baltimore Ravens|巴爾的摩烏鴉|baltimoreravens,ravens
Boston Celtics|波士頓塞爾提克|boston celtics,celtics
Tennessee Titans|田納西泰坦|tennesseetitans
Atlanta Hawks|亞特蘭大老鷹|hawks
Utah Mammoth|Utah Mammoth|utah mammoth
Riot Games|拳頭遊戲|riotgames,riot games
The Woolmark Company|國際羊毛局|thewoolmarkcompany,woolmark
Lancôme|蘭蔻|lancome,lancôme
Hazeline|Hazeline|hazeline
KitKat|奇巧|kitkat
Philips|飛利浦|philips
The Singleton|蘇格登|thesingleton,thesingletonwhisky,the singleton
EnBW|EnBW|enbw,enbw_ag
New York Mets|紐約大都會|nymets
MLB|美國職棒大聯盟|mlb
Rowa|Rowa|rowa
ActionAid|ActionAid|actionaid,actionaiditalia
London Symphony Orchestra|倫敦交響樂團|london symphony orchestra,londonsymphonyorchestra
National Theatre|英國國家劇院|nationaltheatre,national theatre
Bundesliga|德國足球甲級聯賽|bundesliga_en,bundesliga
Hyperice|Hyperice|hyperice
SOUNDBOKS|SOUNDBOKS|soundboks
Hong Kong International Airport|香港國際機場|hongkongairport,hkia
Hyundai|現代汽車|hyundai
Don Julio|唐胡立歐|don julio
HAY|HAY|hay
Kvadrat|Kvadrat|kvadrat,kvadrattextiles
Montblanc|萬寶龍|montblanc
Cornetto|可愛多|cornetto
ASUS|華碩|asus,華碩
Acer|宏碁|acer,宏碁
Razer|雷蛇|razer,雷蛇
ROG|玩家共和國|rog,玩家共和國
VALORANT|特戰英豪|valorant,特戰英豪,無畏契約,无畏契约
Plnty|Plnty|plnty,plnty.app,plntyapp
Formlabs|Formlabs|formlabs
Sensitive|Sensitive|sensitive.work
